timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, roll, pitch
11852, 0.0024895360693335533, -0.000853109871968627, 0.0022361995652318, 0.005033578723669052, -0.0008353401790373027, -0.00047062302473932505, 114711.5078125, 149606.390625, 91059.1015625, 111661.8046875, 137297.828125, 96647.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12630607187747955, 2.409428596496582
11872, 0.0025913678109645844, -0.0008621361921541393, 0.0022257028613239527, 0.005576147232204676, -0.0004933192976750433, -0.0005677969893440604, 114704.25, 149614.296875, 91061.8515625, 111661.1171875, 137293.28125, 96643.453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1279257833957672, 2.4068944454193115
11892, 0.002974429400637746, -0.0008628974319435656, 0.0017233206890523434, 0.0075111351907253265, -0.0002561287546996027, -0.0030663625802844763, 114710.046875, 149611.984375, 91063.0234375, 111664.7109375, 137307.109375, 96648.7421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1273193508386612, 2.3893020153045654
11912, 0.0026427048724144697, -0.0008560079731978476, 0.0016652249032631516, 0.006181056145578623, 2.6692654500948265e-05, -0.0026884269900619984, 114709.3359375, 149615.1875, 91064.984375, 111661.1171875, 137300.109375, 96652.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13053420186042786, 2.399961233139038
11932, 0.002585784299299121, -0.0008732379064895213, 0.0009730133460834622, 0.005943956319242716, 0.0004351087845861912, -0.006019512191414833, 114707.8828125, 149619.8125, 91067.734375, 111667.546875, 137295.03125, 96648.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12270787358283997, 2.4010143280029297
11952, 0.0029455337207764387, -0.0005470985779538751, 0.0008520444389432669, 0.007706190459430218, 0.0018653207225725055, -0.005910547450184822, 114720.875, 149621.234375, 91065.7734375, 111666.8515625, 137297.3125, 96644.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14122585952281952, 2.402142286300659
11972, 0.0025883920025080442, -0.0009001719881780446, 0.0015955991111695766, 0.0057050203904509544, 1.2723580766760278e-06, -0.0016188528388738632, 114728.8359375, 149625.421875, 91066.15625, 111665.40625, 137295.03125, 96653.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13177865743637085, 2.390192985534668
11992, 0.0035052683670073748, -0.0005589567008428276, 0.0015671345172449946, 0.009767201729118824, 0.0014437698991969228, -0.0011595964897423983, 114728.8359375, 149626.75, 91066.5546875, 111671.140625, 137299.578125, 96655.546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16735000908374786, 2.408781051635742
12012, 0.002544224262237549, -0.0008904211572371423, 0.0020959938410669565, 0.00518793985247612, -8.819070353638381e-05, 0.001686248928308487, 114733.921875, 149630.484375, 91063.8125, 111669.0, 137295.03125, 96651.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14021515846252441, 2.411393642425537
12032, 0.002657815348356962, -0.0008942090789787471, 0.0021307943388819695, 0.005797309800982475, -2.4321023374795914e-05, 0.0016845128266140819, 114726.671875, 149626.3125, 91065.7734375, 111667.546875, 137301.859375, 96659.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1420285850763321, 2.4096896648406982
